trị,trỵ
i,y
thi,thy
y,i
tịnh,tỵnh
lĩnh,lỹnh
thy,thi
tic,tyc
tin,tyn
tim,tym
tit,tyt
chi,chy
phinh,phynh
cic,cyc
thì,thỳ
ý,í
chì,chỳ
ping,pyng
pinh,pynh
kỉnh,kỷnh
đĩnh,đỹnh
đi,đy
đy,đi
tri,try
nhỉm,nhỷm
chỉn,chỷn
nhịn,nhỵn
chịt,chỵt
trì,trỳ
đĩ,đỹ
trĩ,trỹ
thinh,thynh
thing,thyng
lin,lyn
lim,lym
lit,lyt
cyn,cin
bich,bych
hìn,hỳn
tĩnh,tỹnh
ình,ỳnh
chĩnh,chỹnh
nhìm,nhỳm
chìm,chỳm
quyn,quin
nhìn,nhỳn
xing,xyng
xinh,xynh
minh,mynh
ming,myng
bing,byng
binh,bynh
lyc,lic
hỉnh,hỷnh
chình,chỳnh
din,dyn
dim,dym
thich,thych
quynh,quinh
nịch,nỵch
nhình,nhỳnh
ghim,ghym
nịnh,nỵnh
mic,myc
min,myn
mit,myt
dyn,din
kình,kỳnh
vic,vyc
vin,vyn
vim,vym
vit,vyt
mym,mim
nhỉ,nhỷ
nhị,nhỵ
kịch,kỵch
rich,rych
quyền,quiền
vịnh,vỵnh
nghìn,nghỳn
quyến,quiến
quyết,quiết
quyễn,quiễn
quyển,quiển
nhi,nhy
nhy,nhi
bỉnh,bỷnh
rinh,rynh
ring,ryng
nic,nyc
hình,hỳnh
nin,nyn
nim,nym
nit,nyt
nhì,nhỳ
bỉm,bỷm
bỉ,bỷ
bị,bỵ
nhĩ,nhỹ
dị,dỵ
bịt,bỵt
gỉ,gỷ
hỉ,hỷ
dich,dych
hỷ,hỉ
hịch,hỵch
kỉ,kỷ
kị,kỵ
kỳ,kì
kỷ,kỉ
kỹ,kĩ
nyc,nic
mỉ,mỷ
mị,mỵ
nyn,nin
lỳ,lì
nỉ,nỷ
nị,nỵ
mỳ,mì
mỹ,mĩ
bi,by
by,bi
vĩnh,vỹnh
ci,cy
cy,ci
di,dy
dy,di
rỉ,rỷ
sỉ,sỷ
bì,bỳ
dinh,dynh
ding,dyng
tỉ,tỷ
tị,tỵ
sỹ,sĩ
gy,gi
tỳ,tì
hi,hy
tỷ,tỉ
dì,dỳ
hy,hi
vỉ,vỷ
vị,vỵ
ic,yc
im,ym
in,yn
it,yt
vỹ,vĩ
dĩ,dỹ
xỉ,xỷ
xị,xỵ
ki,ky
gì,gỳ
ky,ki
li,ly
hì,hỳ
ly,li
hý,hí
mi,my
gĩ,gỹ
quỳnh,quình
my,mi
ni,ny
ny,ni
kì,kỳ
đim,đym
ký,kí
pi,py
lì,lỳ
py,pi
ghỉ,ghỷ
lý,lí
qi,qy
kĩ,kỹ
mì,mỳ
qy,qi
mý,mí
ri,ry
nì,nỳ
ry,ri
si,sy
mĩ,mỹ
sy,si
ti,ty
tịt,tỵt
nĩ,nỹ
ty,ti
lich,lych
thit,thyt
kìm,kỳm
thin,thyn
vi,vy
rì,rỳ
vy,vi
sì,sỳ
nghỉ,nghỷ
nghị,nghỵ
xi,xy
rĩ,rỹ
tì,tỳ
xy,xi
tý,tí
yc,ic
ym,im
yn,in
sĩ,sỹ
yt,it
vì,vỳ
vĩ,vỹ
xì,xỳ
xin,xyn
xim,xym
đich,đych
xit,xyt
ghi,ghy
ghy,ghi
ling,lyng
linh,lynh
bỳt,bìt
phỉ,phỷ
phị,phỵ
phỷ,phỉ
mình,mỳnh
bình,bỳnh
mịch,mỵch
nghi,nghy
lịm,lỵm
bịch,bỵch
tìm,tỳm
chinh,chynh
nghĩ,nghỹ
khỉnh,khỷnh
đinh,đynh
phi,phy
pic,pyc
pin,pyn
pit,pyt
tich,tych
gyc,gic
gym,gim
phì,phỳ
ngĩnh,ngỹnh
phĩ,phỹ
bịnh,bỵnh
ting,tyng
tinh,tynh
hin,hyn
him,hym
hit,hyt
mỉm,mỷm
quýt,quít
chic,chyc
trim,trym
mịc,mỵc
mịt,mỵt
mịn,mỵn
quyên,quiên
dìm,dỳm
chin,chyn
dìn,dỳn
chim,chym
nhim,nhym
phình,phỳnh
quỉ,quỷ
quỳ,quì
quỵ,quị
quỷ,quỉ
quỹ,quĩ
thịnh,thỵnh
qing,qyng
vịt,vỵt
vịn,vỵn
thình,thỳnh
mìn,mỳn
trinh,trynh
nghịch,nghỵch
quyện,quiện
ich,ych
qui,quy
quy,qui
lỉnh,lỷnh
quì,quỳ
quý,quí
khinh,khynh
đỉnh,đỷnh
inh,ynh
ing,yng
nịt,nỵt
ninh,nynh
dình,dỳnh
nhỉnh,nhỷnh
rim,rym
rit,ryt
dịch,dỵch
trịnh,trỵnh
nghĩnh,nghỹnh
tỉnh,tỷnh
dịnh,dỵnh
kich,kych
ỉn,ỷn
trình,trỳnh
ryc,ric
ryt,rit
khình,khỳnh
lình,lỳnh
vinh,vynh
king,kyng
kinh,kynh
địn,đỵn
lịch,lỵch
thịt,thỵt
đình,đỳnh
sic,syc
sim,sym
sin,syn
sit,syt
bic,byc
bin,byn
bim,bym
bit,byt
khỉ,khỷ
phim,phym
phin,phyn
xỉn,xỷn
địch,đỵch
xịn,xỵn
xịt,xỵt
dĩnh,dỹnh
chỉnh,chỷnh
thìn,thỳn
hinh,hynh
tình,tỳnh
sinh,synh
khi,khy
sing,syng
kic,kyc
sym,sim
ỉ,ỷ
syn,sin
ị,ỵ
kim,kym
kin,kyn
thỉ,thỷ
thị,thỵ
kit,kyt
ỷ,ỉ
ỹ,ĩ
chỉ,chỷ
chị,chỵ
gìn,gỳn
tịch,tỵch
định,đỵnh
